18	15.75	gene miRNA	19
19	39.25	gene miRNA	19
20	47.5	gene miRNA	19
21	116.75	gene miRNA	19
22	762.5	gene miRNA	19
23	665.75	gene miRNA	19
24	91.0	gene miRNA	19
25	4.0	gene miRNA	19
26	1.5	gene miRNA	19
18	12.0	ncrna gene	20
19	14.0	ncrna gene	20
20	16.25	ncrna gene	20
21	16.25	ncrna gene	20
22	18.25	ncrna gene	20
23	11.75	ncrna gene	20
24	2.0	ncrna gene	20
25	6.25	ncrna gene	20
26	1.0	ncrna gene	20
27	0.75	ncrna gene	20
18	2.5	gene	21
19	1.75	gene	21
22	4.75	gene	21
23	10.5	gene	21
24	8.0	gene	21
25	3.5	gene	21
26	1.5	gene	21
28	2.25	gene	21
36	1.25	gene	21
19	17.5	gene miRNA	22
20	27.75	gene miRNA	22
21	8.0	gene miRNA	22
22	29.25	gene miRNA	22
23	58.5	gene miRNA	22
24	27.0	gene miRNA	22
25	0.75	gene miRNA	22
18	0.75	gene	23
20	2.75	gene	23
21	1.0	gene	23
22	0.75	gene	23
23	2.0	gene	23
32	1.5	gene	23
34	1.25	gene	23
35	2.0	gene	23
36	2.0	gene	23
37	23.5	gene	23
40	2.0	gene	23
18	2.0	gene miRNA	24
19	16.5	gene miRNA	24
20	60.0	gene miRNA	24
21	42.25	gene miRNA	24
22	130.75	gene miRNA	24
23	1645.25	gene miRNA	24
24	734.0	gene miRNA	24
25	172.5	gene miRNA	24
26	38.0	gene miRNA	24
27	1.0	gene miRNA	24
28	1.0	gene miRNA	24
32	1.0	gene miRNA	24
18	32.5		25
19	40.5		25
20	43.0		25
21	42.0		25
22	80.25		25
23	106.5		25
24	64.5		25
25	78.25		25
26	59.5		25
27	58.25		25
28	70.0		25
32	0.75		25
36	4.25		25
37	7.25		25
38	3.5		25
39	30.25		25
40	0.75		25
18	2.0	gene	26
19	1.5	gene	26
20	1.5	gene	26
22	1.0	gene	26
23	1.0	gene	26
25	5.0	gene	26
26	5.0	gene	26
27	20.75	gene	26
28	619.75	gene	26
20	5.75	gene miRNA	27
21	3.75	gene miRNA	27
22	9.0	gene miRNA	27
23	308.0	gene miRNA	27
24	105.0	gene miRNA	27
25	4.25	gene miRNA	27
26	1.75	gene miRNA	27
18	1.75	gene miRNA	28
19	37.25	gene miRNA	28
20	63.75	gene miRNA	28
21	103.75	gene miRNA	28
22	481.0	gene miRNA	28
23	514.5	gene miRNA	28
24	64.5	gene miRNA	28
25	13.0	gene miRNA	28
19	0.75	gene	29
20	2.5	gene	29
21	12.0	gene	29
22	70.25	gene	29
23	686.25	gene	29
24	20.25	gene	29
25	39.0	gene	29
26	15.5	gene	29
32	2.5	gene	29
18	25.0	ncrna gene	30
19	11.75	ncrna gene	30
20	19.75	ncrna gene	30
21	45.5	ncrna gene	30
22	92.0	ncrna gene	30
23	119.25	ncrna gene	30
24	199.75	ncrna gene	30
25	141.25	ncrna gene	30
26	47.25	ncrna gene	30
27	68.5	ncrna gene	30
28	272.5	ncrna gene	30
29	6.0	ncrna gene	30
30	5.5	ncrna gene	30
31	12.5	ncrna gene	30
32	17.25	ncrna gene	30
33	22.0	ncrna gene	30
34	4.75	ncrna gene	30
35	6.5	ncrna gene	30
36	2.5	ncrna gene	30
38	2.5	ncrna gene	30
40	3.0	ncrna gene	30
19	4.75	gene	31
20	6.5	gene	31
21	6.25	gene	31
22	17.5	gene	31
23	36.25	gene	31
24	17.25	gene	31
25	4.0	gene	31
27	0.75	gene	31
28	7.5	gene	31
29	1.75	gene	31
33	0.75	gene	31
18	21.0	gene	32
19	57.0	gene	32
20	32.5	gene	32
21	31.25	gene	32
22	71.75	gene	32
23	148.25	gene	32
24	1682.25	gene	32
25	266.0	gene	32
26	68.75	gene	32
27	108.25	gene	32
28	200.25	gene	32
29	43.5	gene	32
30	14.0	gene	32
31	15.0	gene	32
32	15.0	gene	32
33	26.25	gene	32
34	20.0	gene	32
35	1.75	gene	32
19	3.25	ncrna gene	33
20	2.25	ncrna gene	33
21	10.25	ncrna gene	33
22	4.0	ncrna gene	33
23	22.25	ncrna gene	33
24	45.75	ncrna gene	33
25	2.5	ncrna gene	33
26	4.0	ncrna gene	33
27	0.75	ncrna gene	33
28	4.0	ncrna gene	33
36	1.75	ncrna gene	33
37	4.0	ncrna gene	33
38	5.25	ncrna gene	33
18	0.75	gene miRNA	34
19	40.5	gene miRNA	34
20	4.5	gene miRNA	34
21	13.5	gene miRNA	34
22	20.75	gene miRNA	34
23	6.0	gene miRNA	34
20	0.75	repeat	35
22	9.75	repeat	35
23	9.75	repeat	35
24	21.25	repeat	35
25	44.75	repeat	35
26	7.0	repeat	35
27	1.5	repeat	35
28	0.75	repeat	35
35	1.25	repeat	35
18	10.75	ncrna gene	36
19	7.25	ncrna gene	36
20	17.0	ncrna gene	36
21	149.0	ncrna gene	36
22	218.25	ncrna gene	36
23	182.0	ncrna gene	36
24	153.75	ncrna gene	36
25	188.75	ncrna gene	36
26	130.25	ncrna gene	36
27	82.5	ncrna gene	36
28	36.0	ncrna gene	36
29	0.75	ncrna gene	36
30	2.0	ncrna gene	36
31	0.75	ncrna gene	36
32	4.0	ncrna gene	36
33	2.75	ncrna gene	36
34	4.0	ncrna gene	36
35	3.75	ncrna gene	36
37	1.5	ncrna gene	36
38	5.25	ncrna gene	36
39	2.75	ncrna gene	36
18	3.75	ncrna gene	37
19	0.75	ncrna gene	37
20	5.25	ncrna gene	37
21	15.5	ncrna gene	37
22	14.0	ncrna gene	37
23	11.25	ncrna gene	37
24	30.5	ncrna gene	37
25	14.25	ncrna gene	37
26	11.0	ncrna gene	37
27	3.75	ncrna gene	37
28	3.75	ncrna gene	37
34	3.5	ncrna gene	37
35	0.75	ncrna gene	37
36	2.25	ncrna gene	37
37	4.5	ncrna gene	37
38	2.75	ncrna gene	37
39	1.25	ncrna gene	37
40	3.25	ncrna gene	37
18	4.25	repeat gene	38
19	1.5	repeat gene	38
20	14.0	repeat gene	38
21	1.75	repeat gene	38
22	7.25	repeat gene	38
23	28.0	repeat gene	38
24	10.25	repeat gene	38
18	4.0	ncrna gene	39
19	1.5	ncrna gene	39
20	0.75	ncrna gene	39
21	0.75	ncrna gene	39
23	0.75	ncrna gene	39
24	2.0	ncrna gene	39
25	6.25	ncrna gene	39
26	3.25	ncrna gene	39
27	2.5	ncrna gene	39
28	1.0	ncrna gene	39
33	9.5	ncrna gene	39
18	2.5	ncrna gene	40
19	0.75	ncrna gene	40
20	1.75	ncrna gene	40
21	0.75	ncrna gene	40
22	1.75	ncrna gene	40
23	1.5	ncrna gene	40
24	6.0	ncrna gene	40
25	6.0	ncrna gene	40
26	11.0	ncrna gene	40
27	15.75	ncrna gene	40
28	12.75	ncrna gene	40
29	2.0	ncrna gene	40
30	1.25	ncrna gene	40
31	3.25	ncrna gene	40
18	186.5	gene	41
19	353.5	gene	41
20	304.25	gene	41
21	224.75	gene	41
22	367.0	gene	41
23	407.5	gene	41
24	383.25	gene	41
25	296.75	gene	41
26	585.25	gene	41
27	8257.25	gene	41
28	8852.25	gene	41
29	545.0	gene	41
30	299.5	gene	41
31	103.25	gene	41
32	302.0	gene	41
33	1117.75	gene	41
34	754.25	gene	41
35	440.25	gene	41
36	47.25	gene	41
37	29.0	gene	41
38	86.5	gene	41
39	84.25	gene	41
40	24.25	gene	41
19	0.75	gene	42
20	2.75	gene	42
21	3.75	gene	42
22	2.5	gene	42
23	4.5	gene	42
24	0.75	gene	42
26	2.75	gene	42
27	1.75	gene	42
28	5.0	gene	42
18	1.5	ncrna gene	43
20	0.75	ncrna gene	43
21	4.0	ncrna gene	43
22	20.25	ncrna gene	43
23	2.25	ncrna gene	43
24	3.75	ncrna gene	43
25	3.0	ncrna gene	43
26	11.0	ncrna gene	43
27	5.75	ncrna gene	43
28	7.0	ncrna gene	43
29	6.75	ncrna gene	43
30	29.25	ncrna gene	43
31	7.75	ncrna gene	43
32	5.25	ncrna gene	43
33	11.25	ncrna gene	43
34	5.25	ncrna gene	43
35	1.25	ncrna gene	43
36	1.75	ncrna gene	43
37	2.0	ncrna gene	43
40	0.75	ncrna gene	43
18	19.5	ncrna gene	44
19	3.5	ncrna gene	44
20	3.5	ncrna gene	44
21	5.0	ncrna gene	44
