Base	N-Count	sample
1	0.008889729856964696	ERS185102
2	1.8959701107895914e-05	ERS185102
3	0.00325869862791961	ERS185102
4	0.00332979750707422	ERS185102
5	0.0	ERS185102
6	0.00030098525508784763	ERS185102
7	0.017549573337996158	ERS185102
8	0.05943866297325369	ERS185102
9	0.0	ERS185102
10	2.369962638486989e-05	ERS185102
11	0.0	ERS185102
12	0.003822749735879514	ERS185102
13	0.0	ERS185102
14	0.005420104554219745	ERS185102
15	0.002789446025499186	ERS185102
16	0.0	ERS185102
17	0.0014219775830921935	ERS185102
18	0.004804778909834029	ERS185102
19	0.0	ERS185102
20	0.0	ERS185102
21	0.0	ERS185102
22	0.0	ERS185102
23	0.0	ERS185102
24	2.631744123940411e-05	ERS185102
25	0.00921112287888807	ERS185102
26	0.00010891097331150213	ERS185102
27	0.0	ERS185102
28	0.0	ERS185102
1	0.25938709340027194	ERS185473
2	0.10276898414661044	ERS185473
3	0.8262319799598411	ERS185473
4	0.07258240728371551	ERS185473
5	0.010852669829267208	ERS185473
6	0.0	ERS185473
7	0.0	ERS185473
8	0.0011184049060695212	ERS185473
9	0.0	ERS185473
10	0.0	ERS185473
11	0.0	ERS185473
12	0.0	ERS185473
13	5.177800491062599e-05	ERS185473
14	2.07112019642504e-05	ERS185473
15	0.0002899568274995056	ERS185473
16	0.0	ERS185473
17	0.0	ERS185473
18	0.0	ERS185473
19	0.0	ERS185473
20	2.9167848572197356e-05	ERS185473
21	0.0	ERS185473
22	0.0	ERS185473
23	0.0	ERS185473
24	0.0	ERS185473
25	0.0004256170383012773	ERS185473
26	0.0	ERS185473
27	0.0009189588563740824	ERS185473
28	0.0	ERS185473
1	0.1179913885350704	ERS185068
2	0.0003124500430827112	ERS185068
3	0.0009153809855938804	ERS185068
4	0.003705462229684028	ERS185068
5	9.275860654017988e-05	ERS185068
6	9.764063846334725e-06	ERS185068
7	0.0	ERS185068
8	0.0	ERS185068
9	0.0	ERS185068
10	4.8820319231673626e-06	ERS185068
11	0.0005565516392410794	ERS185068
12	0.26950036723864634	ERS185068
13	2.441015961583681e-05	ERS185068
14	1.2835325719039696	ERS185068
15	0.0	ERS185068
16	0.0	ERS185068
17	0.00010984571827126566	ERS185068
18	1.0783121328866971	ERS185068
19	0.00277273272947655	ERS185068
20	0.0004967943232785932	ERS185068
21	7.930081753100907e-05	ERS185068
22	0.0	ERS185068
23	0.0	ERS185068
24	0.0	ERS185068
25	0.0	ERS185068
26	0.00017227150313169323	ERS185068
27	0.0005715820820448921	ERS185068
28	0.0005965453208263344	ERS185068
