Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
21	39.79327303136536	41.0	40.0	41.0	38.0	41.0	ERS185470
22	39.49758454511954	41.0	40.0	41.0	37.0	41.0	ERS185470
23	39.58285513459924	41.0	40.0	41.0	37.0	41.0	ERS185470
24	39.6161494083904	41.0	40.0	41.0	37.0	41.0	ERS185470
25	39.61053614421421	41.0	40.0	41.0	37.0	41.0	ERS185470
26	39.65736212332638	41.0	40.0	41.0	37.0	41.0	ERS185470
27	39.63983403312171	41.0	40.0	41.0	37.0	41.0	ERS185470
28	39.649577567088386	41.0	40.0	41.0	37.0	41.0	ERS185470
1	33.2487913832745	34.0	33.0	34.0	31.0	34.0	ERS185082
2	33.45413466847516	34.0	34.0	34.0	31.0	34.0	ERS185082
3	25.611262074349238	34.0	10.0	34.0	2.0	34.0	ERS185082
4	32.14511614591969	37.0	19.0	37.0	19.0	37.0	ERS185082
5	35.38248500548424	37.0	33.0	37.0	32.0	37.0	ERS185082
6	36.1386057822612	37.0	35.0	37.0	35.0	37.0	ERS185082
7	36.339763111218865	37.0	36.0	37.0	35.0	37.0	ERS185082
8	36.58933606583363	37.0	37.0	37.0	35.0	37.0	ERS185082
9	38.62172836273452	39.0	39.0	39.0	38.0	39.0	ERS185082
10	38.633352942991074	39.0	39.0	39.0	39.0	39.0	ERS185082
11	38.63427532103122	39.0	39.0	39.0	38.0	39.0	ERS185082
12	38.61097751008521	39.0	39.0	39.0	38.0	39.0	ERS185082
13	38.52014996680375	39.0	39.0	39.0	38.0	39.0	ERS185082
14	40.271435577789795	41.0	40.0	41.0	39.0	41.0	ERS185082
15	40.322483432595945	41.0	41.0	41.0	39.0	41.0	ERS185082
16	40.32341724523505	41.0	41.0	41.0	39.0	41.0	ERS185082
17	40.353154366134646	41.0	41.0	41.0	39.0	41.0	ERS185082
18	40.300801374143035	41.0	41.0	41.0	39.0	41.0	ERS185082
19	40.24467878942525	41.0	40.0	41.0	39.0	41.0	ERS185082
20	40.258969272375204	41.0	40.0	41.0	39.0	41.0	ERS185082
21	37.12733414920785	41.0	40.0	41.0	34.0	41.0	ERS185082
22	38.391923308742406	41.0	40.0	41.0	34.0	41.0	ERS185082
23	39.42361203209247	41.0	40.0	41.0	34.0	41.0	ERS185082
24	39.85745159153426	41.0	40.0	41.0	37.0	41.0	ERS185082
25	40.00344920101029	41.0	40.0	41.0	38.0	41.0	ERS185082
26	40.079501939562746	41.0	40.0	41.0	38.0	41.0	ERS185082
27	40.165782545024	41.0	40.0	41.0	39.0	41.0	ERS185082
28	40.02951495695425	41.0	40.0	41.0	38.0	41.0	ERS185082
1	32.92126183774278	34.0	31.0	34.0	31.0	34.0	ERS185252
2	33.13441831900852	34.0	33.0	34.0	31.0	34.0	ERS185252
3	33.19513349879567	34.0	33.0	34.0	31.0	34.0	ERS185252
4	36.51393047824471	37.0	37.0	37.0	35.0	37.0	ERS185252
5	36.431894214142865	37.0	37.0	37.0	35.0	37.0	ERS185252
6	36.38803968693072	37.0	37.0	37.0	35.0	37.0	ERS185252
7	36.33390480604331	37.0	37.0	37.0	35.0	37.0	ERS185252
8	36.34157386903159	37.0	37.0	37.0	35.0	37.0	ERS185252
9	38.32601667058295	39.0	39.0	39.0	37.0	39.0	ERS185252
10	38.333038512044396	39.0	39.0	39.0	37.0	39.0	ERS185252
11	38.29736032689611	39.0	39.0	39.0	37.0	39.0	ERS185252
12	37.622731548622276	39.0	39.0	39.0	35.0	39.0	ERS185252
13	37.66033332696485	39.0	39.0	39.0	35.0	39.0	ERS185252
14	39.00479226572245	41.0	40.0	41.0	37.0	41.0	ERS185252
15	39.28266380899126	41.0	40.0	41.0	37.0	41.0	ERS185252
16	39.565808750175044	41.0	40.0	41.0	37.0	41.0	ERS185252
17	39.66683715484884	41.0	40.0	41.0	37.0	41.0	ERS185252
18	38.70247030262193	41.0	40.0	41.0	36.0	41.0	ERS185252
19	38.91244128892549	41.0	40.0	41.0	36.0	41.0	ERS185252
20	39.07098922104395	41.0	40.0	41.0	36.0	41.0	ERS185252
21	39.31690987599208	41.0	40.0	41.0	36.0	41.0	ERS185252
22	39.582456747669994	41.0	40.0	41.0	37.0	41.0	ERS185252
23	39.568811053183104	41.0	40.0	41.0	37.0	41.0	ERS185252
24	39.521188498983726	41.0	40.0	41.0	37.0	41.0	ERS185252
25	39.46105360093563	41.0	40.0	41.0	37.0	41.0	ERS185252
26	39.61773628239249	41.0	40.0	41.0	37.0	41.0	ERS185252
27	39.790046296206064	41.0	40.0	41.0	38.0	41.0	ERS185252
28	39.71441226440665	41.0	40.0	41.0	38.0	41.0	ERS185252
1	32.981275524493	34.0	33.0	34.0	31.0	34.0	ERS185036
2	33.15836518569632	34.0	33.0	34.0	31.0	34.0	ERS185036
3	33.2459765847268	34.0	34.0	34.0	31.0	34.0	ERS185036
4	36.535344232792674	37.0	37.0	37.0	35.0	37.0	ERS185036
5	36.49724207097379	37.0	37.0	37.0	35.0	37.0	ERS185036
6	36.50593574167699	37.0	37.0	37.0	35.0	37.0	ERS185036
7	34.478794148284194	37.0	37.0	37.0	32.0	37.0	ERS185036
8	35.125502013212554	37.0	37.0	37.0	33.0	37.0	ERS185036
9	37.95254004057629	39.0	39.0	39.0	34.0	39.0	ERS185036
10	38.23397147571272	39.0	39.0	39.0	37.0	39.0	ERS185036
11	38.40752814747134	39.0	39.0	39.0	37.0	39.0	ERS185036
12	38.36131462377532	39.0	39.0	39.0	37.0	39.0	ERS185036
13	38.36428215238893	39.0	39.0	39.0	37.0	39.0	ERS185036
14	40.069977760997645	41.0	40.0	41.0	38.0	41.0	ERS185036
15	39.960598998169075	41.0	40.0	41.0	38.0	41.0	ERS185036
16	40.02727444685312	41.0	40.0	41.0	38.0	41.0	ERS185036
17	40.04566954405851	41.0	40.0	41.0	38.0	41.0	ERS185036
18	40.060549160839976	41.0	40.0	41.0	38.0	41.0	ERS185036
19	40.047001289633634	41.0	40.0	41.0	38.0	41.0	ERS185036
20	40.03708682508093	41.0	40.0	41.0	38.0	41.0	ERS185036
21	40.02980754003245	41.0	40.0	41.0	38.0	41.0	ERS185036
22	39.98586774747072	41.0	40.0	41.0	38.0	41.0	ERS185036
23	39.96477150201356	41.0	40.0	41.0	38.0	41.0	ERS185036
24	39.96844081432197	41.0	40.0	41.0	38.0	41.0	ERS185036
25	39.95148136788885	41.0	40.0	41.0	38.0	41.0	ERS185036
26	40.020265016134466	41.0	40.0	41.0	38.0	41.0	ERS185036
27	40.07240562685339	41.0	40.0	41.0	38.0	41.0	ERS185036
28	39.87408512280924	41.0	40.0	41.0	38.0	41.0	ERS185036
1	32.99419919913865	34.0	33.0	34.0	31.0	34.0	ERS185125
2	33.155311755241286	34.0	33.0	34.0	31.0	34.0	ERS185125
3	33.229814342112164	34.0	33.0	34.0	31.0	34.0	ERS185125
4	36.54870727025643	37.0	37.0	37.0	35.0	37.0	ERS185125
5	36.501568655915925	37.0	37.0	37.0	35.0	37.0	ERS185125
6	36.44442068609543	37.0	37.0	37.0	35.0	37.0	ERS185125
7	34.6022675949561	37.0	37.0	37.0	33.0	37.0	ERS185125
8	35.191852868946654	37.0	37.0	37.0	33.0	37.0	ERS185125
9	37.95860875543888	39.0	39.0	39.0	34.0	39.0	ERS185125
10	38.24614892956373	39.0	39.0	39.0	37.0	39.0	ERS185125
11	38.38695152490292	39.0	39.0	39.0	37.0	39.0	ERS185125
12	38.37667047741176	39.0	39.0	39.0	37.0	39.0	ERS185125
13	38.35289747684317	39.0	39.0	39.0	37.0	39.0	ERS185125
14	40.04752775391862	41.0	40.0	41.0	38.0	41.0	ERS185125
15	39.96910685409887	41.0	40.0	41.0	38.0	41.0	ERS185125
16	39.99923875830198	41.0	40.0	41.0	38.0	41.0	ERS185125
17	40.057530758156815	41.0	40.0	41.0	38.0	41.0	ERS185125
18	40.051336263174186	41.0	40.0	41.0	38.0	41.0	ERS185125
19	40.00577307338993	41.0	40.0	41.0	38.0	41.0	ERS185125
20	39.92756003346041	41.0	40.0	41.0	38.0	41.0	ERS185125
21	39.989917551090656	41.0	40.0	41.0	38.0	41.0	ERS185125
22	39.99301622051643	41.0	40.0	41.0	38.0	41.0	ERS185125
23	39.93855297769921	41.0	40.0	41.0	38.0	41.0	ERS185125
24	39.94382701599482	41.0	40.0	41.0	38.0	41.0	ERS185125
25	39.91800516209352	41.0	40.0	41.0	38.0	41.0	ERS185125
26	40.04097762619898	41.0	40.0	41.0	38.0	41.0	ERS185125
27	40.03404839923214	41.0	40.0	41.0	38.0	41.0	ERS185125
28	39.86436492641123	41.0	40.0	41.0	38.0	41.0	ERS185125
1	32.51650415911853	33.0	31.0	34.0	31.0	34.0	ERS185102
2	32.87374130691779	34.0	31.0	34.0	31.0	34.0	ERS185102
3	32.99039757497839	34.0	31.0	34.0	31.0	34.0	ERS185102
4	36.386142657815455	37.0	37.0	37.0	35.0	37.0	ERS185102
5	36.26652464744554	37.0	37.0	37.0	35.0	37.0	ERS185102
6	36.25806968723461	37.0	37.0	37.0	35.0	37.0	ERS185102
7	36.077779092843706	37.0	35.0	37.0	35.0	37.0	ERS185102
8	35.989267126499456	37.0	35.0	37.0	35.0	37.0	ERS185102
